title,author,publisher,isbn,edition,category,language,publication_date,audience,page_count,is_series,series,format,price,description,image
Jewels of literature in the literature and creation of the Arabic language,Ahmed Al Hashemi,دار المعرفة,9953-446-30X,روايات,الكتروني,عربي,2015,عامة الناس,928,لا,1,1,12,"The book, Jewels of Literature, by the author Ahmed Al-Hashemi, in which he collected the sweetest things that were used by the balls of pens, the most precious things in which contracts of eloquence and harmony were organized, and the most delicious things that describe Jewels of Literature. This is a book, as is known from its name: Jawahir al-Adab, on the literature and creation of the Arabic language - the writer entrusted it with whatever fell on his choice. Brilliant, rare verses, stray proverbs, incoming news, useful commandments, comprehensive sermons, extravagant debates, extreme shrines, lofty descriptions and social discourses, so that those who possess it can benefit from it, and dispense with others who desire it.",https://drive.google.com/open?id=1KlMi0RceXnP7L7azBgchIUeItWTGQexa
Remembrance - white paper,Imam Nawawi,دار المعرفة,"	01012004sq",تربية,الكتروني,عربي,2004,عامة الناس,384,لا,1,1,7,Remembrance - white paper,https://drive.google.com/open?id=1yMfPDRzYlp90f7Y-A_QiaMDYzq2Ik1gW
Touch-up 6/1 (two colors),Ibn Hajar Al-Asqalani,دار المعرفة,01012004cy,تربية,ورقي,عربي,2004,عامة الناس,3560,نعم,1,6,65,Touch-up 6/1 (two colors),https://drive.google.com/open?id=1Wd4d6IgWko2JbiAvzrONmnqWInclTwye
Chief Sustainability Officers At Work,Chrissa Pagitsas,Apress,9.78E+12,تربية,ورقي,انكليزي,2022,عامة الناس,336,لا,1,1,28,"Read over 20 exclusive, in-depth interviews with chief sustainability officers (CSOs) of Fortune 500 companies such as Amazon, Coca-Cola, and Procter & Gamble and globally recognized brands such as IKEA and Netflix. These CSOs reveal how they deliver positive environmental and social impact through their companies’ core products and services and generate revenue growth while tackling unique leadership, change management, regulatory and stakeholder challenges.",https://drive.google.com/open?id=1Do1vkoEbbYLD-sWndPck1YH4rbH8y4TF
Docs for Developers,Jared Bhatti,Apress,9.78E+12,تكنولوجيا,الكتروني,انكليزي,2021,مبرمجين,225,لا,1,1,13,"Learn to integrate programming with good documentation. This book teaches you the craft of documentation for each step in the software development lifecycle, from understanding your users’ needs to publishing, measuring, and maintaining useful developer documentation.",https://drive.google.com/open?id=1Jy-Y0lsShEu89LTMi2obqbCxAoYtT6SL
Building Responsive Data Visualization for the Web,Bill Hinderman,Willey,9.78E+12,تكنولوجيا,الكتروني,انكليزي,2015,مبرمجين,448,لا,1,1,32,"Building Responsive Data Visualization for the Web is a handbook for any front-end development team needing a framework for integrating responsive web design into the current workflow. Written by a leading industry expert and design lead at Starbase Go, this book provides a wealth of information and practical guidance from the perspective of a real-world designer. You'll walk through the process of building data visualizations responsively as you learn best practices that build upon responsive web design principles, and get the hands-on practice you need with exercises, examples, and source code provided in every chapter. These strategies are designed to be implemented by teams large and small, with varying skill sets, so you can apply these concepts and skills to your project right away.",https://drive.google.com/open?id=1cii1Vnzjb_tkx6TvVKii-TxsBlCb9vn8
 تحليل بيانات الأعمال المالية - ج 1, ايناس شيخ سليمان,Ray pub (دار شعاع),13063,هندسة,الكتروني,عربي,2012,اقتصاديين,544,نعم,1,1,6,"ناك المئات بل الآلاف من المسائل المالية والإدارية التي تواجه أصحاب ورجال الأعمال. ورغم تنوع هذه المسائل فإنه يمكن حصرها معاً في نماذج تحليلية متشابهة. وهنا يأتي دور Excel في حل وإنجاز هذه المهمة.
إذ ستجد في هذا الكتاب:
أقوى الدوال المالية في Excel
النماذج
التعظيم باستخدام Solver
جداول PivotTables
استخدام الدوال الإحصائية
دوال وصيغ القوائم",https://drive.google.com/open?id=1mI1-H6vdeJ1LxjEkVMl8G51dyNVzVlte
The struggle of the jazayiriun people against the French occupation,D.Ali Muhammad Al-Sallabi,دار المعرفة,9953-853663-0,تاريخ,الكتروني,عربي,2015,عامة الناس,760,نعم,1,1,12,aljazayir in World War I to the November Revolution of 1962,https://drive.google.com/open?id=16zdTPEMQ_-JKNedu3pN8bgb5VjV5tEkZ
The globalization of immorality,Dr. Ahmed Qahtan,دار المعرفة,9953-446-41-5,سياسة,الكتروني,عربي,2004,عامة الناس,216,لا,1,1,5,"In his book, the writer deals with an aspect of the issue of the war on Iraq, and singles out the issue of immorality that dominates our country, and how the West wants to distract the minds of future youth with these issues, and make it the most important issue in their lives, and eliminate from their minds the issue of defending their country, and what is happening inside the detention centers, And in the colonized country. And the symptoms that assail you. In the book are documents and facts that took place and are still taking place as a result of the war on Iraq and other colonial countries",https://drive.google.com/open?id=1s1Axff0n7rAwroRLM1l5K6L8cSXTA7gU
"Inspired by the Book and the Sunnah, skills in psychological education",Mrs. Abla Bisat Juma,دار المعرفة,9953-85-361-4,تربية,الكتروني,عربي,2015,عامة الناس,416,نعم,2,1,14,"This book is rational steps to bring together all members of the family, starting with the spouses and how to communicate and understanding between them, passing through the children and their upbringing, and even caring for the elderly when the parents grow up, so we show them righteousness and return to them some of what they have given us of education and briefing.",https://drive.google.com/open?id=1qf-q-h07LD_yw6Yzc54vZvPB5RIN6g_E
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Willey, ISBN 9780099590088,تاريخ,ورقي,انكليزي,2014,عامة الناس,512,لا,1,1,18,"The book talks about the development of humanity from the Stone Age to the present time, and provides a unique vision of human history and how our past, present, and future can be understood. The book is considered one of the best-selling books in the world in the fields of history, social sciences and philosophy.",https://drive.google.com/open?id=1GG8cJI308PtmhDDXdEZxlSlx3onM_Pom
Justice from an Islamic perspective,Dr. Ali Muhammad Al-Sallabi,دار المعرفة,9953-85-360-6,سياسة,الكتروني,عربي,2015,عامة الناس,416,لا,1,1,7,"The author says: In the book, I referred to the features of justice and its most prominent features, such as moderation, benevolence, removal of embarrassment, provisions of ease, wisdom, integrity, and clarity, and I explained this in an application guide to the features of justice",https://drive.google.com/open?id=15Y11HJW3MJPbw79DmupNPeZq7Wp6rlXd
The Kharijites - Their Upbringing and Characteristics - Their Beliefs and Ideas,Dr. Ali Muhammad Al-Sallabi,دار المعرفة,9953-85-358-4,سياسة,الكتروني,عربي,2014,عامة الناس,128,لا,1,1,3.5,"When misguided sects and deviant sects spread in the countries of Islam, they expose its people to danger, distort the faith and spread disunity, threaten security and stability, make people question their faith, and wreak havoc and destruction on the earth, and that is the case of the rogue Kharijites who revolted against the Commander of the Faithful, Ali Ibn Abi Talib, and declared him unbelievers, and a group of them killed him. All of a sudden, claiming that they are selling themselves with this act in order to please God, and they have no document or proof for that, it is nothing but following whims, obedience to devils, and corruption of faith.",https://drive.google.com/open?id=1CtFultReIlC4EI1HHd7YbwD_kin7uQcC
Strong Will: How to Stay Committed to Your Goals and Succeed in Life,Roy Byako,دار المعرفة,ISBN 9789953458861,تربية,ورقي,عربي,2017,عامة الناس,172,لا,1,1,8,The book talks about how to develop a strong will and self-motivation to reach the desired goals in life. The book includes practical tools for fostering commitment and achieving success. This book is an invaluable reference for people who want to improve their ability to commit and have a strong will.,https://drive.google.com/open?id=1QpwAbNGQ0KyvKdK2tnJ5Q2Xjm-3YXZIC
Citizenship and homeland - in the modern Muslim state,Dr. Ali Muhammad Al-Sallabi,دار المعرفة,9953-85-359-2,سياسة,الكتروني,عربي,2014,عامة الناس,256,لا,1,1,7,"This book is an important episode of the ""political intellectual project"". It was divided into five topics:

The first topic: citizenship in language, terminology, and the historical development of its concept.

The second topic: citizenship and concepts related to it.

The third topic: Quranic and prophetic evidence related to the homeland.

The fourth topic: the rights and duties of citizens.

The fifth topic: dealing with sectarian conflicts and the idea of ​​Arab citizenship.",https://drive.google.com/open?id=1Y76cRmtxqXY3LU_Xb0MVJ-lGCcg4VvgZ
Honesty is safe,Manal Mahjoub,دار المعرفة,9953-85-343-6,روايات,الكتروني,عربي,2014,أطفال,12,نعم,1,1,3,"Educational stories series
Dobby's living conscience did not allow him to lie to his mother in order to cover up his mistake and shortcomings, so his mother forgave him and became proud of him.",https://drive.google.com/open?id=1Y_Yz5Kx9ScveZQOD8Dvaz-9r0nrvdfd7
Victory in cooperation,Manal Mahjoub,دار المعرفة,9953-85-347-9,روايات,الكتروني,عربي,2014,أطفال,12,لا,1,1,3,"The rabbits of the weak were able, with their intelligence and good management, to overcome the evil fox, so they made him fall into the evil of his deeds, and after that they lived in safety and happiness.",https://drive.google.com/open?id=1WsvVPoU5AcAmlRmFiOP_1BIG5lMlSNqx
the secret of success,Manal Mahjoub,دار المعرفة,9953-85-351-7,روايات,الكتروني,عربي,2014,أطفال,12,لا,1,1,3,"Lily is a beautiful little cat. In this short story, you will learn that paying attention to cleanliness and arranging personal needs is essential to being successful in school and in life.",https://drive.google.com/open?id=1771PhdYaZ_OwEGauN1MoN7iIPLeaeBST
Walk in the meadow,Manal Mahjoub,دار المعرفة,9953-85-346-0,روايات,الكتروني,عربي,2014,أطفال,12,لا,1,1,3,Zuzu and Fufu are two friendly squirrels who are out for a nice walk in a green meadow. We will learn from them that cleaning hands before eating is an important condition of health and safety.,https://drive.google.com/open?id=1nZir6kfBdw59h_ARL9kg_fGtY68U9szW
Java for beginners,Engineer Nabil Tabaa,Ray pub (دار شعاع),12167,هندسة,الكتروني,عربي,2023,عامة الناس,200,نعم,2,1,4,"This book was written to help you learn Java quickly and well.
The book does not assume any prior programming background. FTA If you are an experienced programmer but new to Java, then this book will provide you with the first-hand information to get you started with programming in Java.",https://drive.google.com/open?id=1EexQxGgCOoC1B02ebTxC3RGwz6s0Bib9
MonoGame Mastery,"Louis Salin،Jarred Capellman",Apress,978-1-4842-6309-9,تكنولوجيا,الكتروني,انكليزي,2021,مبرمجين,323,نعم,3,2,44,"Master the art of game creation with MonoGame—the cross-platform framework of choice for independent developers. Learn the various aspects needed to create your next game by covering MonoGame framework specifics, engine creation, graphics, patterns, and more.",https://drive.google.com/open?id=1GGcHj9HpFPpI2s62Zry7Z8IzwSlGVoM0
Mughni al-Muhtaj 4/1 - Shmoua,Al-Khatib Al-Sherbiny,دار المعرفة,25-03-2014,تاريخ,الكتروني,عربي,2014,عامة الناس,2676,نعم,4,4,50,"It is one of the most important and well-known Shafi’i books, and it is the most dealt with by students of jurisprudence of all their different schools of thought. An unofficial book of worship and transactions, good phrase, smooth style, and good arrangement. [1]",https://drive.google.com/open?id=1lhX1v8ycZwCPKZuxdtSHh3dcqshBtYLM
I own my body,John Ronson,دار المعرفة,ISBN 9789953105087,صحة,الكتروني,عربي,2014,عامة الناس,176,لا,1,1,8,"The book talks about the importance of developing the body and how to think about the body better, take care of it and nurture it. It provides practical advice to maintain mental and physical health and lead an enjoyable and healthy life. This book is inspiring and useful for people who seek to live healthy and happy lives.",https://drive.google.com/open?id=1OMTZ1VS_eZUnLY5-DUEFkNKHpx6NxBLK
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life, Mark Manson,Ray pub (دار شعاع),ISBN 9780062457714,ادارة,الكتروني,انكليزي,2014,عامة الناس,224,لا,1,1,15,"The writer uses clear and sarcastic language to present the concepts of self-help in a different and unconventional way. The book focuses on the importance of choosing the right priorities, identifying the things that deserve attention and exaggerating them, and avoiding feelings of stress and excessive expectations. This book is considered one of the best self-help books of the last decade, and it is widely popular all over the world.",https://drive.google.com/open?id=17dRC7hpKFYu8-_VwY0WxeDCTYPn5Wn-d
Philosophy of the family system in Islam,Ahmed Al-Kubaisi,Apress,978-9953-85-379-6,تربية,الكتروني,عربي,2021,عامة الناس,240,لا,1,1,10,No description,https://drive.google.com/open?id=1_9kAUJ6UcY3cQ9wezFZ1m_N-Gb11kEl2
Interpretation of Al-Baydawi in the margins of the Holy Quran - Shamwa,alamam albaydawiu,دار المعرفة,9953-85-321-5,تاريخ,الكتروني,عربي,2021,عامة الناس,1136,لا,1,1,28,"The learned judge, Nasir al-Din al-Baydawi, began writing his book, The Interpretation of the Great Qur’an, in the seventh century AH, and called it: “Anwar al-Tanzel wa Asrar al-Ta’wil.” This interpretation found wide acceptance among contemporary scholars and those who came after them. In other sciences, and he wrote many books in those sciences, so that I consider this interpretation the most famous of his books and compilations in the eyes of many scholars, and he won the rank of precedence and assumed the advanced position in his time. It is a useful book in its subject matter, useful to its readers, brief in its style, accurate in its expressions, it contains many meanings, useful sciences, and legal facts.",https://drive.google.com/open?id=14Y7-fkUzzXfJPeUO0pK49FHq5YS4G5pN
Jewels of literature in the literature and creation of the Arabic language,Ahmed Al Hashemi,دار المعرفة,9953-446-30X,تربية,الكتروني,عربي,2015,عامة الناس,928,لا,1,1,12,"The book, Jewels of Literature, by the author Ahmed Al-Hashemi, in which he collected the sweetest things that were used by the balls of pens, the most precious things in which contracts of eloquence and harmony were organized, and the most delicious things that describe Jewels of Literature. This is a book, as is known from its name: Jawahir al-Adab, on the literature and creation of the Arabic language - the writer entrusted it with whatever fell on his choice. Brilliant, rare verses, stray proverbs, incoming news, useful commandments, comprehensive sermons, extravagant debates, extreme shrines, lofty descriptions and social discourses, so that those who possess it can benefit from it, and dispense with others who desire it.",https://drive.google.com/open?id=1qIN2zqnOKkSRL3t1Y3LGsA61DI5DiPpY
By faith and food we delay the aging of the mind and body,Dalawer Muhammad Saber,دار المعرفة,9953-85-322-3,صحة,الكتروني,عربي,2015,عامة الناس,320,لا,1,1,12,"The power of faith can release a huge amount of energy from our minds to influence our bodies and even other human beings.
There are many realistic examples of this, and it is not hidden from us that this power of faith may change the physiology of the body....
With the strength of faith in God Almighty and harmony with the universe, with a variety of healthy food, a person can change his view of his body, and provide him with spiritual and nutritional energy, thus delaying the advance of aging of the mind and body.",https://drive.google.com/open?id=1E_khErQcEikyKy-Gpo_eUehR-CAx0OY_
Stories of the Noble Qur’an in colorful graphics,Ahmed Al-Kubaisi,دار المعرفة,9953851938,روايات,الكتروني,عربي,2017,عامة الناس,560,لا,1,1,36,"An interesting journey that takes you through time, from the beginning of creation to the resurrection of our beloved Prophet, passing through a blessed group of prophets, the truthful ones, the martyrs and the righteous. A journey whose guide was the verses of the Holy Book. To the causes of success in this world and the Hereafter, and alert you to the pitfalls of doom in order to avoid them, and make you firm on the path of your religion, jihad and patience, and comfort you along the way when you realize that you belong to a long caravan of believers who are steadfast in the truth and working for it. But the love of God Almighty and the sacrifice for the sake of His religion made them liberate themselves from the earthly materialistic pulls to the lights of the upper heavens. So the lights of their sincerity and jihad became apparent, and their light remained - to this day - bright and radiant. So come to the verses and stories of the Great Qur’an. .. And make it a glowing light of truth.",https://drive.google.com/open?id=1H78dDBAaA31AvNkEF3c5WhKjA48ynTxf
MongoDB Performance Tuning,Guy Harrison,Apress,9.78E+12,تكنولوجيا,ورقي,انكليزي,2021,مبرمجين,349,لا,1,1,45,"Use this fast and complete guide to optimize the performance of MongoDB databases and the applications that depend on them. You will be able to turbo-charge the performance of your MongoDB applications to provide a better experience for your users, reduce your running costs, and avoid application growing pains. MongoDB is the world’s most popular document database and the foundation for thousands of mission-critical applications. This book helps you get the best possible performance from MongoDB.",https://drive.google.com/open?id=14BX95qUiPmy5f-A6pzQdQyTB7G_HHuqQ
Software Architect,Michael Bell,Willey,9.78E+12,تكنولوجيا,الكتروني,انكليزي,2023,مبرمجين,432,لا,1,1,24,"In Software Architect, veteran enterprise and solution architect Michael Bell delivers a hands-on playbook of best practices for aspiring and practicing software architects, seeking to improve their software design, integration, communication, presentation, and knowledge acquisition skills. He explores the career enablement, career planning, self-training, and self-improvement topics you’ll need to increase your ability to offer powerful and effective business and technological solutions.",https://drive.google.com/open?id=1DXsi2SBKzWp0SQwk_7zkPF1Vw50Ll140
Fundamentals of scientific research writing and manuscript verification,Prof. Dr. Youssef Al-Marashly,دار المعرفة,9.79E+12,تربية,ورقي,عربي,2019,عامة الناس,312,لا,1,3,10,A book on scientific research methods and writing theses and research. It is a summary of principles and rules that are easy to understand. I made it clear in terms and in good tabulation and sections.,https://drive.google.com/open?id=1CBuTc6GZAcz0PK3M0B2AsEmDsgzukNM8
Color Theory For Dummies,Eric Hibit,Willey,9.78E+12,فن,ورقي,انكليزي,2022,عامة الناس,288,لا,1,1,22,"Color theory is the art and science of using color. Color Theory For Dummies explains, in simple terms, how colors relate to one another and how they can be combined to work together in an aesthetically pleasing way. An understanding of color theory can help you create art, decorate your home, design a beautiful wedding, and impress your friends at parties. With this book, you’ll learn how humans perceive color, how colors harmonize or clash with each other, and how you can apply these principles in your life and work to add a little, well, color to things.",https://drive.google.com/open?id=1S-peqNPrl_-puD0v3NQjI0fkn0PSGm5y
Zero Trust Security,Jason Garbis,Apress,9.78E+12,تكنولوجيا,الكتروني,انكليزي,2021,مبرمجين,300,لا,1,1,13,"Understand how Zero Trust security can and should integrate into your organization. This book covers the complexity of enterprise environments and provides the realistic guidance and requirements your security team needs to successfully plan and execute a journey to Zero Trust while getting more value from your existing enterprise security architecture. After reading this book, you will be ready to design a credible and defensible Zero Trust security architecture for your organization and implement a step-wise journey that delivers significantly improved security and streamlined operations.",https://drive.google.com/open?id=15uXPRA-KMA1OFvB5FvxxAYsiOsZrUba9
أسس الأمان في PHP,المهندس محمد شيخو معمو,دار المعرفة,12119,هندسة,الكتروني,عربي,2010,مبرمجين,136,لا,1,1,2,"شرح هذا الكتاب أكثر أنواع الهجوم شهرة على تطبيقات الويب المكتوبة بلغة PHP كما يشرح كيفية كتابة شيفرة يمكنها التصدي لهذه الهجومات.
إذ ستجد فيه المواضيع الأساسية التالية:

الحماية من نقاط ضعف البرمجة العامة (XSS)
الحماية من هجوم حقن
الحماية من محاولات سرقة جلسة العمل SQL 
الحماية من هجوم حقن الأوامر
الحماية من سرقة ملفات تعريف الارتباط
المصادقة والتخويل ...
وغيرها الكثير ...",https://drive.google.com/open?id=17UFf6wX7ep_IKXkzsbrvS_G_dJ_Z3tOE
الإدارة الكاملة لقواعد المعطيات,م. نهى حنحون - م. نور طرقجي,Ray pub (دار شعاع),12146,هندسة,الكتروني,عربي,2011,مبرمجين,808,لا,1,1,8.5,"في الحقيقة إن مدير قواعد البيانات المسؤول هو العقل الذي يقود ويوجه كافة النشاطات المتعلقة بقواعد المعطيات في المنظمة بدءاً من تشكيل فريق مدراء قواعد المعطيات مروراً بتهيئة البيئة المناسبة للعمل ومعالجة الإنتاج مع مراعاة كافة الإجراءات التي تهدف لتحسين الأداء وضمان الإتاحية والمصداقية. هذا ويعتبر المدير مسؤولاً عن إدارة تراخيص الأمن وإدارة تغييرات قواعد المعطيات وضمان استرجاعها بالشكل الأمثل عند وقوع الفشل أو الكارثة.

يعالج هذا الكتاب كافة الفعاليات والإجراءات السابقة بتعمق كما يتطرق لمجموعة من التقنيات والقضايا والأدوات المتعلقة بإدارة قواعد البيانات  أو المعطيات وذلك بشكل يجعل من هذا الكتاب مرجعاً يتيح لأي راغب أن يتعمق في أي نظام إدارة قواعد معطيات مستقل على أرضية صلبة وراسخة.

في الحقيقة سيكون هذا الكتاب ملازماً لك في كل مراحل تقدمك في مجال إدارة قواعد المعطيات وستعود إليه باستمرار لأنه سيقدم لك المزيد والمزيد كلما تعمقت أكثر في هذا المجال.",https://drive.google.com/open?id=1oA7Fo-PxU0wpJ9a2x0sLSHHd8HD1WeIc
التعمية وأمن الشبكات,الدكتور المهندس سائد محمود الناظر,Ray pub (دار شعاع),16023,هندسة,الكتروني,عربي,2008,مبرمجين,336,لا,1,1,3.5,"يشكل هذا الكتاب بجزأيه مرجعاً أكاديمياً وعملياً في علم التعمية (التشفير) وتطبيقاته المختلفة لضمان أمن الشبكات الحاسوبية. حيث يقدم الجزء الأول نظرة شاملة على علم التعمية وأسس ومبادئ هذا العلم وذلك من وجهتي النظر العلمية والبحتة والتطبيقية. بينما يطرح الجزء الثاني ويناقش التطبيقات العملية المستخدمة لتأمين وضمان أمن الشبكات الحاسوبية.
يصلح هذا الكتاب كمرجع أكاديمي كما يلبي حاجة المبرمجين المهتمين في هذا المجال. يقدم هذا الكتاب المواضيع التالية: 
مفاهيم أساسية في علم التعمية (التشفير)
الخوارزميات التقليدية المستخدمة في عمليات التعمية 
أهم خوارزميات التعمية التماثلية
أهم خورازميات التعمية باستخدام المفتاح العمومي
الخلفية الرياضية اللازمة للخوض في علم التعمية
تطبيقات التحقق من الهوية
تطبيقات حماية البريد الإلكترونية
مدخل إلى أمن الشبكات بما في ذلك الإنترنت
حماية النظام من الدخلاء والبرامج الضارة مناقشة واسعة لجدران النار وطريقة عملها",https://drive.google.com/open?id=1k6dYfE8KZjxh-TSfL1mxmYg8nu7OJGjI
الشبكات العصبونية بالتطبيقات العملية, الدكتور المهندس نذير حسن المحرز,Ray pub (دار شعاع),14040,هندسة,الكتروني,عربي,2014,مبرمجين,432,لا,1,1,5.5,"يعرض هذا الكتاب نظرة على الأبحاث الحديثة في مجال الشبكات العصبونية الصنعية. وهو يتضمن التطورات النظرية لعلم الشبكات العصبونية الصنعية وتطبيقاتها باستخدام الخصائص الذكية من أجل: التكيّفية والتعلم الذاتي والتصنيف والتنبؤ وحتى من أجل الخلق والابداع الفني.

إن هذا الكتاب هو خلاصة التطورات الأخيرة في مجال الشبكات العصبونية الصنعية من منظور عملي. فهو يعرض دراسات للتطبيقات في تنبؤ السلاسل الزمنية واستخلاص المعرفة والهندسة المدنية والاقتصاد والإبداع الفني (الموسيقى) وتحقيق الحد الأدنى للكلفة وكشف التدخل وتطبيقات أخرى عديدة مما يجعله مصدراً مهماً جداً للأفكار والمعارف للباحث والمطور.

",https://drive.google.com/open?id=1LsxNvG7E9eQtkBjZiM19fUL0QtCceMtI
GIS بالتطبيقات العملية,المهندس هيثم يوسف زرقطة,Ray pub (دار شعاع),30061,هندسة,الكتروني,عربي,2015,مبرمجين,456,لا,1,1,7,"جي اي اس بالتطبيقات العملية

  هذا الكتاب يشرح نظام (جي آي إس) وكيفية استخدامه مع مجموعة متنوعة من الأمثلة والخرائط الملونة. كما يشرح الكتاب:

 المعطيات المكانية. إذ يصف المميزات الأساسية للمعطيات المكانية ومصادرها مع الأمثلة عن اسقاطات الخرائط المختلفة مع الطرق المختلفة للمرجعيات المكانية
 نمذجة المعطيات المكانية
 إدارة قواعد البيانات وإدخال المعطيات وتحريرها بالإضافة إلى تحليلها
 الخرج: من الخرائط الجديدة إلى القرارات المعززة
 تصميم وإدارة مشروع (جي أي إس). ويبين كيف يتم تصميم وإدارة مشروع (جي أي إٍس) مع توصيف النمذجة الخرائطية في التصميم وكذلك استعراض الأساليب المتوفرة لإدارة مشاريع (جي آي إس) مع ذكر المشاكل المتوقعة عند تنفيذه",https://drive.google.com/open?id=198HdWwFFRIuaf8L5ciGUI1MjNzWy-9c9
مجموعة 300 دارة في الإلكترونيات العملية,المهندس محمد أنور توفيق جبولي,Ray pub (دار شعاع),20031,هندسة,الكتروني,عربي,2009,مبرمجين,480,لا,1,1,4.75,إن الدارات التي يحتويها هذا الكتاب قابلة للتحقيق والإنجاز وإذا تأمل القارئ هذه الدارات سوف يجد في معظمها حلولاً لمشاكل قد يصادفها المهتم بالإلكترونيات في حياته العملية وقد تشكل أجزاء من دارات أساسية يصممها.,https://drive.google.com/open?id=1rW5S1FMSijRNC3XhAcuUenem9x9yRltK
توصيلات وتمديدات الشبكات LAN,مصطفى مشلح,Ray pub (دار شعاع),16019,هندسة,الكتروني,عربي,2004,مبرمجين,640,لا,1,1,5.75,""" توصيلات وتمديدات الشبكات لان ""

أثبت الواقع أن حوالي 70% من المشاكل التي قد تعاني منها أي شبكة محلية ناتجة عن الكابلات المستخدمة في وصل مكونات الشبكة الأخرى.

وفي هذا الكتاب ستتعرف على القضايا التالية في موضوع الكابلات وتمديداتها: أشهر المعايير العالمية التي يمكنك اتباعها وتنفيذها في اختيار ومد وتوصيل الكابلات. مثل المعيار ANSI/TIA/EIA-568-A والمعيار ISO/IEC 11801 هذا بالإضافة إلى أهم المعايير والنشرات التقنية التي تتعلق بمد وتوصيل الكابلات مثل النشرات TSB-67 و TSB-95 و TSB-75 وكذلك المعايير ANSI/TIA/EIA-569 و ANSI/TIA/EIA-607

مكونات أنظمة الكابلات المعيارية ومواصفات كل منها وكيفية ربط كل منها مع بقية مكونات النظام
أهم الأدوات المستخدمة في تمديد وتوصيل واختبار الكابلات وكيفية استخدام كل منها وكيفية الحصول عليها
أهم أنواع الكابلات النحاسية ومواصفاتها واستخداماتها والأدوات المكونات المطلوبة أثناء تمديدها وكيفية تمديدها وتوصيلها بمختلف مكونات نظام الكابلات
أهم أنواع كابلات الألياف البصرية ومواصفاتها واستخداماتها والأدوات والمكونات المطلوبة أثناء تمديدها وكيفية تمديدها وتوصيلها بمختلف مكونات نظام الكابلات
أهم تقنيات الربط اللاسلكي ومواصفات وكيفية تركيب كل منها
كيفية تركيب الموصلات على كل نوع من أنواع الكابلات النحاسية وذات الألياف البصرية
كيفية فحص وإصلاح نظام الكابلات والأدوات المستخدمة في ذلك
",https://drive.google.com/open?id=1JVODZ3cVdglERvn5Za-uJk9yTldjWIUf
بناء الشبكات اللاسلكية المحلية,المهندسة مريم اسماعيل,Ray pub (دار شعاع),16022,هندسة,الكتروني,عربي,2017,مبرمجين,208,لا,1,1,3.5,"طرح هذا الكتاب مسألة بناء الشبكات اللاسلكية على مستوى محلي فهي قليلة الكلفة ومن الممكن تحقيقها وإدارتها. إضافة إلى ذلك يقدم هذا الكتاب كل المعلومات اللازمة لتخطيط الشبكة والحصول على المكونات الضرورية وفهم البروتوكولات التي تحتاجها لتصميم وتحقيق شبكتك.
يبدأ الكتاب بمفاهيم التشبيك اللاسلكية الأساسية وخدمات الشبكة العامة ويركز على سمات معينة لبناء شبكتك اللاسلكية الخاصة ويشرح إحدى تجارب بناء شبكة تجمُّع لاسلكية تسمح بالاتصال اللاسلكي وتصفح الويب لكل من هم في الجوار.
 
يتناول هذا الكتاب ما يلي:
شبكات التجمع اللاسلكية
تعريف مجال المشروع
تخطيط الشبكة
استخدام نقاط الوصول
الشبكات المعتمدة على المُضيف
الشبكات بعيدة المدى
تطبيقات أخرى
شبكة الكوكب اللاسلكية المجانية ? شبكة مدينة Sebastopol اللاسلكية المجانية
الأنظمة التي تؤثر في نشر شبكات 802.11
حسابات الخسارة في المسار
الإدارة البسيطة للمخطط",https://drive.google.com/open?id=1U4WIjfByGi0WLpplPfACR34NRdkFLY4V
الدليل العملي لبرمجة واستخدام Raspberry Pi,المهندس زياد غريواتي,Ray pub (دار شعاع),20086,هندسة,الكتروني,عربي,2018,مبرمجين,392,لا,1,1,7.75,"الدليل العملي لبرمجة واستخدام راسبيري باي

.يؤمن هذا الكتاب المعلومات الفنية والتكنولوجية والوسائل التي تحتاجها لاستثمار راسبيري على أكمل وجه. 

أهم المواضيع التي يتضمنها هذا الكتاب
- التعرف على بنية راسبيري وطريقة تشغيله واستثماره
- التحكم بإعدادات راسبيري للحصول على أفضل أداء
- تنصيب البرامج المجانية التي تستطيع استخدامها من خلال راسبيري
- استخدام بيئة سطح المكتب لتشغيل البرامج وإدارة الملفات وتصفح ويب وعرض الصور
- استخدام نظام تشغيل لينكس والتعرف على التعليمات التفاعلية لإدارة بطاقات راسبيري
- تحرير الصور وتشغيل الموسيقا والفيديو
- إنشاء ألعاب باستخدام لغة البرمجة بايثون
- تعلم بعض مبادئ الإلكترونيات وإنشاء بعض المشاريع الإلكترونية عن طريق التحكم باستخدام أقطاب الدخل والخرج في راسبيري

",https://drive.google.com/open?id=1EDvpmFK-8WFu4LMwZEIQtKZRj6ILeyAM
"Food Regulation: Law, Science, Policy, and Practice, 2nd Edition",Neal Fortin,Willey,978-1-118-96449-1,صحة,الكتروني,انكليزي,2016,عامة الناس,552,نعم,2,2,134,"Featuring case studies and discussion questions, this textbook – with revisions addressing significant changes to US food law – offers accessible coverage appropriate to a wide audience of students and professionals.",https://drive.google.com/open?id=1kKhCDI8tQm6-67cAQpdmrdQ75cSwlgSi
